Order ID,SKU Code,Product type,Item Quantity
103644,V2LASAGNE_2,MEAL,1
103644,MUSHROOM_2,MEAL,1
103644,SHEPHERD_2,MEAL,1
103644,CARBONARA_2,MEAL,1
103644,BOLOGNESE_2,MEAL,1
103644,KATSU_2,MEAL,1
122840,V2LASAGNE_1,MEAL,2
122840,PEANUT_1,MEAL,1
122840,RISOTTO_1,MEAL,1
122840,CHILLI_1,MEAL,1
122840,CARBONARA_1,MEAL,1
139993,UDON_2,MEAL,2
139993,V2LASAGNE_2,MEAL,1
139993,MOUSSAKA_2,MEAL,1
139993,CHILLI_2,MEAL,1
139993,PEANUT_2,MEAL,1
145014,MACGREENS_1,MEAL,1
145014,MOUSSAKA_1,MEAL,1
145014,BERRY_1,BREAKFAST,1
145014,PROTEIN_1,MEAL,1
145014,CARBONARA_1,MEAL,1
145014,V2LASAGNE_1,MEAL,1
145014,MANGO_1,BREAKFAST,1
145014,RENDANG_1,MEAL,1
147881,DAAL_2,MEAL,1
147881,KATSU_2,MEAL,1
147881,PROTEIN_2,MEAL,1
147881,RENDANG_2,MEAL,1
147881,AUBERGINE_2,MEAL,1
147881,V2LASAGNE_2,MEAL,1
170148,TAGINE_2,MEAL,2
170148,FALAFEL_2,MEAL,1
170148,BOLOGNESE_2,MEAL,1
170148,SHEPHERD_2,MEAL,1
170148,CHILLI_2,MEAL,1
172778,MACGREENS_1,MEAL,1
172778,V2LASAGNE_1,MEAL,1
172778,TAGINE_1,MEAL,1
172778,MUSHROOM_1,MEAL,1
172778,KATSU_1,MEAL,1
172778,ORZO_1,MEAL,1
172948,BOLOGNESE_1,MEAL,1
172948,CAULI_1,MEAL,1
172948,PADTHAI_1,MEAL,1
172948,AUBERGINE_1,MEAL,1
172948,KATSU_1,MEAL,1
172948,KALE_1,MEAL,1
173450,AUBERGINE_1,MEAL,1
173450,RENDANG_1,MEAL,1
173450,PROTEIN_1,MEAL,1
173450,ROAST_1,MEAL,1
173450,MUSHROOM_1,MEAL,1
173450,KORMA_1,MEAL,1
